scenario,scenario_label,initial_belief,gamma,horizon,discounted_cumulative_defender_utility,discounted_cumulative_attacker_utility,mean_attack_probability,terminal_public_belief_mean,terminal_uncertainty_probability
scenario_a,场景 A,0.65,0.8,3,-11.678111111111116,5.612000000000002,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.8,4,-14.128600000000006,6.789600000000002,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.8,5,-16.088991111111117,7.7316800000000026,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.8,6,-17.657304000000007,8.485344000000003,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.8,7,-18.91195431111112,9.088275200000004,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.8,8,-19.915674560000006,9.570620160000004,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.8,9,-20.71865075911112,9.956496128000005,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.8,10,-21.36103171840001,10.265196902400005,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.8,11,-21.87493648583112,10.512157521920004,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.8,12,-22.28606029977601,10.709726017536006,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.8,13,-22.614959350931922,10.867780814028805,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.8,14,-22.878078591856653,10.994224651223044,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.8,15,-23.088573984596437,11.095379720978437,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.95,1,-4.786111111111113,2.3000000000000003,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.95,2,-9.33291666666667,4.485000000000001,0.8930555555555556,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.95,3,-13.65238194444445,6.560750000000001,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.95,4,-17.75587395833334,8.532712500000002,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.95,5,-21.654191371527784,10.406076875,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.95,6,-25.357592914062508,12.185773031250001,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.95,7,-28.87582437947049,13.8764843796875,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.95,8,-32.21814427160808,15.482660160703125,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.95,9,-35.39334816913879,17.008527152667966,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.95,10,-38.40979187179296,18.458100795034568,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.95,11,-41.27541338931442,19.83519575528284,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.95,12,-43.997753830959816,21.1434359675187,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.95,13,-46.58397725052293,22.386264169142763,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.95,14,-49.0408894991079,23.566950960685624,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.95,15,-51.374956135263616,24.688603412651343,0.8930555555555557,0.6500003500000001,0.77
scenario_b,场景 B,0.25,0.5,1,0.15,0.0,0.1375,0.25000020833333336,0.45833333333333337
scenario_b,场景 B,0.25,0.5,2,0.22499999999999998,5.551115123125783e-17,0.1375,0.2500002083333333,0.4583333333333333
scenario_b,场景 B,0.25,0.5,3,0.2625000000000001,0.0,0.13749999999999996,0.2500002083333333,0.45833333333333326
scenario_b,场景 B,0.25,0.5,4,0.28125000000000006,9.71445146547012e-17,0.13749999999999998,0.2500002083333333,0.45833333333333326
scenario_b,场景 B,0.25,0.5,5,0.290625,1.5265566588595902e-16,0.13749999999999998,0.2500002083333333,0.45833333333333326
scenario_b,场景 B,0.25,0.5,6,0.2953125000000002,7.28583859910259e-17,0.13749999999999996,0.25000020833333325,0.4583333333333332
scenario_b,场景 B,0.25,0.5,7,0.29765625000000007,1.457167719820518e-16,0.13749999999999998,0.25000020833333325,0.45833333333333315
scenario_b,场景 B,0.25,0.5,8,0.298828125,1.8301332671555315e-16,0.13749999999999996,0.25000020833333325,0.45833333333333315
scenario_b,场景 B,0.25,0.5,9,0.2994140625000002,9.107298248878237e-17,0.13749999999999996,0.25000020833333325,0.45833333333333315
scenario_b,场景 B,0.25,0.5,10,0.2997070312500001,1.5525775109992423e-16,0.13749999999999996,0.2500002083333332,0.4583333333333331
scenario_b,场景 B,0.25,0.5,11,0.299853515625,1.8832591736073212e-16,0.13749999999999996,0.2500002083333332,0.45833333333333304
scenario_b,场景 B,0.25,0.5,12,0.29992675781250017,9.410874857174178e-17,0.13749999999999996,0.2500002083333332,0.45833333333333304
scenario_b,场景 B,0.25,0.5,13,0.2999633789062501,1.569653695215889e-16,0.13749999999999996,0.2500002083333332,0.45833333333333304
scenario_b,场景 B,0.25,0.5,14,0.29998168945312503,1.8927459426165694e-16,0.13749999999999996,0.25000020833333314,0.458333333333333
scenario_b,场景 B,0.25,0.5,15,0.2999908447265627,9.463052086725043e-17,0.13749999999999993,0.25000020833333314,0.4583333333333329
scenario_b,场景 B,0.25,0.65,1,0.15,0.0,0.1375,0.25000020833333336,0.45833333333333337
scenario_b,场景 B,0.25,0.65,2,0.24750000000000016,-3.8857805861880476e-17,0.13749999999999996,0.2500002083333333,0.4583333333333333
scenario_b,场景 B,0.25,0.65,3,0.3108750000000001,9.381384558082574e-17,0.13749999999999998,0.2500002083333333,0.45833333333333326
scenario_b,场景 B,0.25,0.65,4,0.35206875000000026,9.951761636983749e-17,0.13749999999999996,0.2500002083333333,0.45833333333333326
