scenario,scenario_label,initial_belief,gamma,c_theta1,c_theta2,strategy,strategy_label,horizon,discounted_cumulative_defender_utility,discounted_cumulative_attacker_utility,undiscounted_cumulative_defender_utility,undiscounted_cumulative_attacker_utility,mean_attack_probability,terminal_public_belief_mean,terminal_uncertainty_probability
scenario_a,场景 A,0.65,0.85,2.5,1.5,recursive_pbne,递归 PBNE 策略,15,-29.120160749787836,13.993901973780808,-71.79166666666669,34.50000000000001,0.8930555555555557,0.6500003500000001,0.77
scenario_b,场景 B,0.25,0.85,2.5,3.0,truthful_baseline,真实披露基线,1,-3.0,2.5,-3.0,2.5,0.25,0.25,0.0
scenario_b,场景 B,0.25,0.85,2.5,3.0,truthful_baseline,真实披露基线,2,-5.55,4.625,-6.0,5.0,0.25,0.25,0.0
scenario_b,场景 B,0.25,0.85,2.5,3.0,truthful_baseline,真实披露基线,3,-7.717499999999999,6.43125,-9.0,7.5,0.25,0.25,0.0
scenario_b,场景 B,0.25,0.85,2.5,3.0,truthful_baseline,真实披露基线,4,-9.559874999999998,7.9665625,-12.0,10.0,0.25,0.25,0.0
scenario_b,场景 B,0.25,0.85,2.5,3.0,truthful_baseline,真实披露基线,5,-11.125893749999998,9.271578125,-15.0,12.5,0.25,0.25,0.0
scenario_b,场景 B,0.25,0.85,2.5,3.0,truthful_baseline,真实披露基线,6,-12.457009687499998,10.38084140625,-18.0,15.0,0.25,0.25,0.0
scenario_b,场景 B,0.25,0.85,2.5,3.0,truthful_baseline,真实披露基线,7,-13.588458234374997,11.323715195312499,-21.0,17.5,0.25,0.25,0.0
scenario_b,场景 B,0.25,0.85,2.5,3.0,truthful_baseline,真实披露基线,8,-14.550189499218746,12.125157916015624,-24.0,20.0,0.25,0.25,0.0
scenario_b,场景 B,0.25,0.85,2.5,3.0,truthful_baseline,真实披露基线,9,-15.367661074335933,12.80638422861328,-27.0,22.5,0.25,0.25,0.0
scenario_b,场景 B,0.25,0.85,2.5,3.0,truthful_baseline,真实披露基线,10,-16.062511913185542,13.385426594321288,-30.0,25.0,0.25,0.25,0.0
scenario_b,场景 B,0.25,0.85,2.5,3.0,truthful_baseline,真实披露基线,11,-16.653135126207708,13.877612605173095,-33.0,27.5,0.25,0.25,0.0
scenario_b,场景 B,0.25,0.85,2.5,3.0,truthful_baseline,真实披露基线,12,-17.15516485727655,14.29597071439713,-36.0,30.0,0.25,0.25,0.0
scenario_b,场景 B,0.25,0.85,2.5,3.0,truthful_baseline,真实披露基线,13,-17.581890128685064,14.65157510723756,-39.0,32.5,0.25,0.25,0.0
scenario_b,场景 B,0.25,0.85,2.5,3.0,truthful_baseline,真实披露基线,14,-17.9446066093823,14.953838841151926,-42.0,35.0,0.25,0.25,0.0
scenario_b,场景 B,0.25,0.85,2.5,3.0,truthful_baseline,真实披露基线,15,-18.252915617974953,15.210763014979136,-45.0,37.5,0.25,0.25,0.0
scenario_b,场景 B,0.25,0.85,2.5,3.0,full_pooling_baseline,完全混同基线,1,-0.75,0.0,-0.75,0.0,0.0,0.25,0.0
scenario_b,场景 B,0.25,0.85,2.5,3.0,full_pooling_baseline,完全混同基线,2,-1.3875,0.0,-1.5,0.0,0.0,0.25,0.0
scenario_b,场景 B,0.25,0.85,2.5,3.0,full_pooling_baseline,完全混同基线,3,-1.9293749999999998,0.0,-2.25,0.0,0.0,0.25,0.0
scenario_b,场景 B,0.25,0.85,2.5,3.0,full_pooling_baseline,完全混同基线,4,-2.3899687499999995,0.0,-3.0,0.0,0.0,0.25,0.0
scenario_b,场景 B,0.25,0.85,2.5,3.0,full_pooling_baseline,完全混同基线,5,-2.7814734374999994,0.0,-3.75,0.0,0.0,0.25,0.0
scenario_b,场景 B,0.25,0.85,2.5,3.0,full_pooling_baseline,完全混同基线,6,-3.1142524218749994,0.0,-4.5,0.0,0.0,0.25,0.0
scenario_b,场景 B,0.25,0.85,2.5,3.0,full_pooling_baseline,完全混同基线,7,-3.3971145585937492,0.0,-5.25,0.0,0.0,0.25,0.0
scenario_b,场景 B,0.25,0.85,2.5,3.0,full_pooling_baseline,完全混同基线,8,-3.6375473748046865,0.0,-6.0,0.0,0.0,0.25,0.0
scenario_b,场景 B,0.25,0.85,2.5,3.0,full_pooling_baseline,完全混同基线,9,-3.8419152685839832,0.0,-6.75,0.0,0.0,0.25,0.0
scenario_b,场景 B,0.25,0.85,2.5,3.0,full_pooling_baseline,完全混同基线,10,-4.0156279782963855,0.0,-7.5,0.0,0.0,0.25,0.0
scenario_b,场景 B,0.25,0.85,2.5,3.0,full_pooling_baseline,完全混同基线,11,-4.163283781551927,0.0,-8.25,0.0,0.0,0.25,0.0
scenario_b,场景 B,0.25,0.85,2.5,3.0,full_pooling_baseline,完全混同基线,12,-4.288791214319137,0.0,-9.0,0.0,0.0,0.25,0.0
scenario_b,场景 B,0.25,0.85,2.5,3.0,full_pooling_baseline,完全混同基线,13,-4.395472532171266,0.0,-9.75,0.0,0.0,0.25,0.0
scenario_b,场景 B,0.25,0.85,2.5,3.0,full_pooling_baseline,完全混同基线,14,-4.486151652345575,0.0,-10.5,0.0,0.0,0.25,0.0
scenario_b,场景 B,0.25,0.85,2.5,3.0,full_pooling_baseline,完全混同基线,15,-4.563228904493738,0.0,-11.25,0.0,0.0,0.25,0.0
scenario_b,场景 B,0.25,0.85,2.5,3.0,static_random_baseline,随机伪装基线,1,-0.3333333333333333,0.0,-0.3333333333333333,0.0,0.22916666666666669,0.25000020833333336,0.45833333333333337
scenario_b,场景 B,0.25,0.85,2.5,3.0,static_random_baseline,随机伪装基线,2,-2.9226851851851854,1.534722222222222,-3.3796296296296298,1.8055555555555554,0.2685185185185185,0.24999997685185185,0.0
scenario_b,场景 B,0.25,0.85,2.5,3.0,static_random_baseline,随机伪装基线,3,-5.425605066872428,3.2016010802469133,-6.843878600823045,4.112654320987654,0.2677040466392318,0.24999990946502057,0.0
scenario_b,场景 B,0.25,0.85,2.5,3.0,static_random_baseline,随机伪装基线,4,-7.624385629215249,4.704006505058299,-10.42422553726566,6.559070644718792,0.2643943615683585,0.24999994915980794,0.0
scenario_b,场景 B,0.25,0.85,2.5,3.0,static_random_baseline,随机伪装基线,5,-9.510183513726748,6.001252403972098,-14.036821908499718,9.044186290199665,0.2617635618300056,0.24999998920507227,0.0
scenario_b,场景 B,0.25,0.85,2.5,3.0,static_random_baseline,随机伪装基线,6,-11.11708650598988,7.108681166562856,-17.658376456064733,11.540051747277685,0.25986039239892106,0.2500000711492433,0.0
scenario_b,场景 B,0.25,0.85,2.5,3.0,static_random_baseline,随机伪装基线,7,-12.483892541598015,8.051121805386368,-21.282419385943903,14.03890326313269,0.25846543734365846,0.24999992035629726,0.0
scenario_b,场景 B,0.25,0.85,2.5,3.0,static_random_baseline,随机伪装基线,8,-13.645899260297375,8.852462254505287,-24.90715353313256,16.538584239759082,0.2574105808358429,0.25000008246309435,0.0
scenario_b,场景 B,0.25,0.85,2.5,3.0,static_random_baseline,随机伪装基线,9,-14.633657290682825,9.53366441964556,-28.53207968512941,19.038495622155303,0.25658800349856203,0.24999988457877104,0.0
scenario_b,场景 B,0.25,0.85,2.5,3.0,static_random_baseline,随机伪装基线,10,-15.47326396972361,10.112701083870576,-32.157059171795204,21.538471006154253,0.2559294082820479,0.2500000513170102,0.0
scenario_b,场景 B,0.25,0.85,2.5,3.0,static_random_baseline,随机伪装基线,11,-16.186932563639157,10.604885748538898,-35.78205347364681,24.038464168376183,0.25539042296684716,0.25000006981369954,0.0
scenario_b,场景 B,0.25,0.85,2.5,3.0,static_random_baseline,随机伪装基线,12,-16.793551557139942,11.023243539914056,-39.407051890827816,26.538462268993385,0.2549412342431015,0.24999990828174146,0.0
scenario_b,场景 B,0.25,0.85,2.5,3.0,static_random_baseline,随机伪装基线,13,-17.309177864218857,11.378847857706834,-43.03205145115587,29.038461741387053,0.25456114268341634,0.2500000439671944,0.0
scenario_b,场景 B,0.25,0.85,2.5,3.0,static_random_baseline,随机伪装基线,14,-17.747460263628366,11.681111573901616,-46.657051329024775,31.538461594829737,0.25423534764982303,0.2500000122131095,0.0
scenario_b,场景 B,0.25,0.85,2.5,3.0,static_random_baseline,随机伪装基线,15,-18.12000031219133,11.938035743545036,-50.28205129509947,34.03846155411937,0.2539529913660035,0.2500000033925304,0.0
scenario_b,场景 B,0.25,0.85,2.5,3.0,recursive_pbne,递归 PBNE 策略,1,0.15,0.0,0.15,0.0,0.1375,0.25000020833333336,0.45833333333333337
scenario_b,场景 B,0.25,0.85,2.5,3.0,recursive_pbne,递归 PBNE 策略,2,0.2775000000000002,-1.665334536937735e-17,0.30000000000000016,0.0,0.13749999999999996,0.2500002083333333,0.4583333333333333
scenario_b,场景 B,0.25,0.85,2.5,3.0,recursive_pbne,递归 PBNE 策略,3,0.38587500000000013,1.604272270583351e-16,0.4500000000000002,2.220446049250313e-16,0.13749999999999998,0.2500002083333333,0.45833333333333326
scenario_b,场景 B,0.25,0.85,2.5,3.0,recursive_pbne,递归 PBNE 策略,4,0.4779937500000003,2.6810498265916743e-16,0.6000000000000003,4.440892098500626e-16,0.13749999999999996,0.2500002083333333,0.45833333333333326
scenario_b,场景 B,0.25,0.85,2.5,3.0,recursive_pbne,递归 PBNE 策略,5,0.5562946875000002,5.286077131572142e-16,0.7500000000000003,8.881784197001252e-16,0.13749999999999998,0.2500002083333333,0.45833333333333326
scenario_b,场景 B,0.25,0.85,2.5,3.0,recursive_pbne,递归 PBNE 策略,6,0.6228504843750003,6.882739170266382e-16,0.9000000000000005,1.3322676295501878e-15,0.13749999999999996,0.25000020833333325,0.4583333333333332
scenario_b,场景 B,0.25,0.85,2.5,3.0,recursive_pbne,递归 PBNE 策略,7,0.6794229117187502,9.768845003754743e-16,1.0500000000000005,1.9984014443252818e-15,0.13749999999999998,0.25000020833333325,0.45833333333333315
scenario_b,场景 B,0.25,0.85,2.5,3.0,recursive_pbne,递归 PBNE 策略,8,0.7275094749609379,1.1467724002171827e-15,1.2000000000000006,2.6645352591003757e-15,0.13749999999999996,0.25000020833333325,0.45833333333333315
scenario_b,场景 B,0.25,0.85,2.5,3.0,recursive_pbne,递归 PBNE 策略,9,0.7683830537167972,1.3968607365764938e-15,1.3500000000000005,3.4416913763379853e-15,0.13749999999999996,0.25000020833333325,0.45833333333333315
scenario_b,场景 B,0.25,0.85,2.5,3.0,recursive_pbne,递归 PBNE 策略,10,0.8031255956592778,1.5340047264771058e-15,1.5000000000000007,4.218847493575595e-15,0.13749999999999996,0.2500002083333332,0.4583333333333331
scenario_b,场景 B,0.25,0.85,2.5,3.0,recursive_pbne,递归 PBNE 策略,11,0.832656756310386,1.7735803102289697e-15,1.6500000000000006,5.218048215738236e-15,0.13749999999999996,0.2500002083333332,0.45833333333333304
scenario_b,场景 B,0.25,0.85,2.5,3.0,recursive_pbne,递归 PBNE 策略,12,0.8577582428638283,1.8946526459635203e-15,1.8000000000000007,6.217248937900877e-15,0.13749999999999996,0.2500002083333332,0.45833333333333304
scenario_b,场景 B,0.25,0.85,2.5,3.0,recursive_pbne,递归 PBNE 策略,13,0.879094506434254,2.114501881391961e-15,1.9500000000000006,7.438494264988549e-15,0.13749999999999996,0.2500002083333332,0.45833333333333304
scenario_b,场景 B,0.25,0.85,2.5,3.0,recursive_pbne,递归 PBNE 策略,14,0.897230330469116,2.2136511951116705e-15,2.100000000000001,8.659739592076221e-15,0.13749999999999996,0.25000020833333314,0.458333333333333
scenario_b,场景 B,0.25,0.85,2.5,3.0,recursive_pbne,递归 PBNE 策略,15,0.9126457808987486,2.410483579778555e-15,2.250000000000001,1.0103029524088925e-14,0.13749999999999993,0.25000020833333314,0.4583333333333329
